CityCounty ,CountyFIPS,HealthDistrict,,,,,,,,,,
Accomack,51001,Eastern Shore,,,,,,,,,,
Albemarle,51003,Thomas Jefferson,,,,,,,,,,
Alexandria,51510,Alexandria,,,,,,,,,,
Alleghany,51005,Alleghany,,,,,,,,,,
Amelia,51007,Piedmont,,,,,,,,,,
Amherst,51009,Central Virginia,,,,,,,,,,
Appomattox,51011,Central Virginia,,,,,,,,,,
Arlington,51013,Arlington,,,,,,,,,,
Augusta,51015,Central Shenandoah,,,,,,,,,,
Bath,51017,Central Shenandoah,,,,,,,,,,
Bedford,51019,Central Virginia,,,,,,,,,,
Bland,51021,Mount Rogers,,,,,,,,,,
Botetourt,51023,Alleghany ,,,,,,,,,,
Bristol,51520,Mount Rogers,,,,,,,,,,
Brunswick,51025,Southside,,,,,,,,,,
Buchanan,51027,Cumberland Plateau,,,,,,,,,,
Buckingham,51029,Piedmont,,,,,,,,,,
Buena Vista City,51530,Central Shenandoah,,,,,,,,,,
Campbell,51031,Central Virginia,,,,,,,,,,
Caroline,51033,Rappahannock,,,,,,,,,,
Carroll,51035,Mount Rogers,,,,,,,,,,
Charles City,51036,Chickahominy,,,,,,,,,,
Carlotte,51037,Piedmont,,,,,,,,,,
Charlottesville,51540,Thomas Jefferson,,,,,,,,,,
Chesapeake,51550,Chesapeake,,,,,,,,,,
Chesterfield,51041,Chesterfield,,,,,,,,,,
Clarke,51043,Lord Fairfax,,,,,,,,,,
Colonial Heights,51570,Chesterfield,,,,,,,,,,
Covington,51580,Alleghany,,,,,,,,,,
Craig,51045,Alleghany,,,,,,,,,,
Culpeper,51047,Rappahannock Rapidan,,,,,,,,,,
Cumberland,51049,Piedmont,,,,,,,,,,
Danville,51590,Pittsylvania-Danville,,,,,,,,,,
Dickerson,51051,Cumberland Plateau,,,,,,,,,,
Sinwiddie,51053,Crater,,,,,,,,,,
Emporia,51595,Crater,,,,,,,,,,
Essex,51057,Three Rivers,,,,,,,,,,
Fairfax,51059,Fairfax,,,,,,,,,,
Fairfax City,51600,Fairfax,,,,,,,,,,
Falls Church,51610,Fairfax,,,,,,,,,,
Fauquier,51061,Rappahannock Rapidan,,,,,,,,,,
Floyd,51063,New River,,,,,,,,,,
Fluvanna,51065,Thomas Jefferson,,,,,,,,,,
Franklin City,51630,Western Tidewater,,,,,,,,,,
Franklin,51067,West Piedmont,,,,,,,,,,
Frederick,51069,Lord Fairfax,,,,,,,,,,
Fredericksburg,51630,Rappahannock,,,,,,,,,,
Galax,51640,Mount Rogers,,,,,,,,,,
Giles,51071,New River,,,,,,,,,,
Cloucester,51073,Three Rivers,,,,,,,,,,
Goochland,51075,Chickahominy,,,,,,,,,,
Grayson,51077,Mount Rogers,,,,,,,,,,
Greene,51079,Thomas Jefferson,,,,,,,,,,
Greensville,51081,Crater,,,,,,,,,,
Halifax,51083,Southside,,,,,,,,,,
Hampton,51650,Hampton,,,,,,,,,,
Hanover,51085,Chickahominy,,,,,,,,,,
Harrisonburg,51660,Central Shenandoah,,,,,,,,,,
Henrico,51087,Henrico,,,,,,,,,,
Henry,51089,West Piedmont,,,,,,,,,,
Highland,51091,Central Shenandoah,,,,,,,,,,
Hopewell,51670,Crater,,,,,,,,,,
Isle of Wight,51093,Western Tidewater,,,,,,,,,,
James City,51095,Peninsula,,,,,,,,,,
King and Queen,51097,Three Rivers,,,,,,,,,,
King George,51099,Rappahannock,,,,,,,,,,
King William,51101,Three Rivers,,,,,,,,,,
Lancaster,51103,Three Rivers,,,,,,,,,,
Lee,51105,Lenowisco,,,,,,,,,,
Lexington,51678,Central Shenandoah,,,,,,,,,,
Loudoun,51107,Loudoun,,,,,,,,,,
Lousia,51109,Thomas Jefferson,,,,,,,,,,
Lunenburg,51111,Piedmont,,,,,,,,,,
Lynchburg,51680,Central Virginia,,,,,,,,,,
Madison,51113,Rappahannock Rapidan,,,,,,,,,,
Manassas City,51683,Prince William,,,,,,,,,,
Manassas Park,51685,Prince William,,,,,,,,,,
Martinsville,51690,West Piedmont,,,,,,,,,,
Mathews,51115,Three Rivers,,,,,,,,,,
Mecklenburg,51117,Southside,,,,,,,,,,
Middlesex,51119,Three Rivers,,,,,,,,,,
Montgomery,51121,New River,,,,,,,,,,
Nelson,51125,Thomas Jefferson,,,,,,,,,,
New Kent,51127,Chickahominy,,,,,,,,,,
Newport News,51700,Peninsula,,,,,,,,,,
Norfolk,51710,Norfolk,,,,,,,,,,
Northampton,51131,Eastern Shore,,,,,,,,,,
Northumberland,51133,Three Rivers,,,,,,,,,,
Norton,51720,Lenowisco,,,,,,,,,,
Nottoway,51135,Piedmont,,,,,,,,,,
Orange,51137,Rappahannock Rapidan,,,,,,,,,,
Page,51139,Lord Fairfax,,,,,,,,,,
Patrick,51141,West Piedmont,,,,,,,,,,
Petersburg,51730,Crater,,,,,,,,,,
Pittsylvania,51143,Pittsylvania-Danville,,,,,,,,,,
Poquoson,51735,Peninsula,,,,,,,,,,
Portsmouth,51740,Portsmouth,,,,,,,,,,
Powhatan,51145,Chesterfield,,,,,,,,,,
Prince Edward,51147,Piedmont,,,,,,,,,,
Prince George,51149,Crater,,,,,,,,,,
Prince William,51153,Prince William,,,,,,,,,,
Pulaski,51155,New River,,,,,,,,,,
Radford,51750,New River,,,,,,,,,,
Rappahannock,51157,Rappahannock Rapidan,,,,,,,,,,
Richmond,51760,Richmond,,,,,,,,,,
Richmond County,51159,Three Rivers,,,,,,,,,,
Roanoke,51770,Roanoke,,,,,,,,,,
Roanoke County,51161,Alleghany,,,,,,,,,,
Rockbridge,51163,Central Shenandoah,,,,,,,,,,
Rockingham,51165,Central Shenandoah,,,,,,,,,,
Russell,51167,Cumberland Plateau,,,,,,,,,,
Salem,51775,Alleghany,,,,,,,,,,
Scott,51169,Lenowisco,,,,,,,,,,
Shenandoah,51171,Lord Fairfax,,,,,,,,,,
Smyth,51173,Mount Rogers,,,,,,,,,,
Southampton,51175,Western Tidewater,,,,,,,,,,
Spotsylvania,51177,Rappahannock,,,,,,,,,,
Stafford,51179,Rappahannock,,,,,,,,,,
Staunton,51790,Central Shenandoah,,,,,,,,,,
Suffolk,51800,Western Tidewater,,,,,,,,,,
Surry,51181,Crater,,,,,,,,,,
Sussex,51183,Crater,,,,,,,,,,
Tazewell,51185,Cumberland Plateau,,,,,,,,,,
Virginia Beach,51810,Virginia Beach,,,,,,,,,,
Warren,51187,Lord Fairfax,,,,,,,,,,
Washington,51191,Mount Rogers,,,,,,,,,,
Waynesboro,51820,Central Shenandoah,,,,,,,,,,
Westmoreland,51193,Three Rivers,,,,,,,,,,
Williamsburg,51830,Peninsula,,,,,,,,,,
Winchester,51840,Lord Fairfax,,,,,,,,,,
Wise,51195,Lenowisco,,,,,,,,,,
Wythe,51197,Mount Rogers,,,,,,,,,,
York,51199,Peninsula,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
