Municipality,Enrollment 2019,Update Date,Choice,Number of Days In-Person K,Number of Days In-Person 1,Number of Days In-Person 2,Number of Days In-Person 3,Number of Days In-Person 4,Number of Days In-Person 5,Number of Days In-Person 6,Number of Days In-Person 7,Number of Days In-Person 8,Number of Days In-Person 9,Number of Days In-Person 10,Number of Days In-Person 11,Number of Days In-Person 12,ScheduleK,Schedule1,Schedule2,Schedule3,Schedule4,Schedule5,Schedule6,Schedule7,Schedule8,Schedule9,Schedule10,Schedule11,Schedule12
Bath,529,9222020,In-Person Only,4,4,4,4,4,4,4,4,4,4,4,4,4,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR
Bristol,2255,9222020,In-Person Only,4,4,4,4,4,4,4,4,4,4,4,4,4,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR
Buchanan,2676,9222020,In-Person Only,4,4,4,4,4,4,4,4,4,4,4,4,4,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR
Grayson,1556,9222020,In-Person Only,4,4,4,4,4,4,4,4,4,4,4,4,4,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR
Hanover,17541,9222020,In-Person Only,5,5,5,5,5,5,5,5,5,5,5,5,5,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA
Highland,218,9222020,In-Person Only,5,5,5,5,5,5,5,5,5,5,5,5,5,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA
Lexington,503,9222020,In-Person Only,5,5,5,5,5,5,5,5,5,5,5,5,5,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA
Norton,818,9222020,In-Person Only,4,4,4,4,4,4,4,4,4,4,4,4,4,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR
Prince George,6353,9222020,In-Person Only,4,4,4,4,4,4,4,4,4,4,4,4,4,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR
Tazewell,5585,9222020,In-Person Only,4,4,4,4,4,4,4,4,4,4,4,4,4,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA
Amelia,1731,9222020,Part In-Person,4,4,4,4,4,4,2,2,2,2,2,2,2,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB
Amherst,4115,9222020,Part In-Person,4,4,4,4,4,4,2,2,2,2,2,2,2,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB
Appomattox,2279,9222020,Part In-Person,4,4,4,4,4,4,2,2,2,2,2,2,2,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB
Augusta,10342,9222020,Part In-Person,4,4,2,2,2,2,2,2,2,2,2,2,2,RAAAA,RAAAA,RABAB,RABAB,RABAB,RABAB,RABAB,RABAB,RABAB,RABAB,RABAB,RABAB,RABAB
