Report Date,ZIP Code,Number of Cases,Number of Testing Encounters,Number of PCR Testing Encounters
05/15/2020,20105,61,,
05/15/2020,20106,25,,
05/15/2020,20109,542,,
05/15/2020,20110,609,,
05/15/2020,20111,426,,
05/15/2020,20112,102,,
05/15/2020,20115,19,,
05/15/2020,20117,7,,
05/15/2020,20118,Suppressed*,,
05/15/2020,20119,14,,
05/15/2020,20120,142,,
05/15/2020,20121,98,,
05/15/2020,20124,31,,
05/15/2020,20129,7,,
05/15/2020,20130,0,,
05/15/2020,20132,26,,
05/15/2020,20135,5,,
05/15/2020,20136,85,,
05/15/2020,20137,Suppressed*,,
05/15/2020,20139,Suppressed*,,
05/15/2020,20141,7,,
05/15/2020,20143,0,,
05/15/2020,20144,Suppressed*,,
05/15/2020,20147,197,,
05/15/2020,20148,83,,
05/15/2020,20151,106,,
05/15/2020,20152,62,,
05/15/2020,20155,132,,
05/15/2020,20158,7,,
05/15/2020,20164,403,,
05/15/2020,20165,127,,
05/15/2020,20166,67,,
05/15/2020,20169,51,,
05/15/2020,20170,373,,
05/15/2020,20171,176,,
05/15/2020,20175,72,,
05/15/2020,20176,207,,
05/15/2020,20180,9,,
05/15/2020,20181,25,,
05/15/2020,20184,Suppressed*,,
05/15/2020,20186,37,,
05/15/2020,20187,35,,
05/15/2020,20190,115,,
05/15/2020,20191,156,,
05/15/2020,20194,18,,
05/15/2020,20197,Suppressed*,,
05/15/2020,20198,Suppressed*,,
05/15/2020,22003,643,,
05/15/2020,22015,246,,
05/15/2020,22025,65,,
05/15/2020,22026,103,,
05/15/2020,22027,39,,
05/15/2020,22030,177,,
05/15/2020,22031,200,,
05/15/2020,22032,85,,
05/15/2020,22033,133,,
05/15/2020,22035,0,,
05/15/2020,22039,45,,
05/15/2020,22041,438,,
05/15/2020,22042,374,,
05/15/2020,22043,134,,
05/15/2020,22044,155,,
05/15/2020,22046,97,,
05/15/2020,22060,11,,
05/15/2020,22066,35,,
05/15/2020,22079,183,,
05/15/2020,22101,86,,
05/15/2020,22102,75,,
05/15/2020,22124,33,,
05/15/2020,22125,Suppressed*,,
05/15/2020,22134,13,,
05/15/2020,22150,476,,
05/15/2020,22151,164,,
05/15/2020,22152,122,,
05/15/2020,22153,102,,
05/15/2020,22172,76,,
05/15/2020,22180,102,,
05/15/2020,22181,27,,
05/15/2020,22182,62,,
05/15/2020,22191,783,,
05/15/2020,22192,319,,
05/15/2020,22193,702,,
05/15/2020,22201,144,,
05/15/2020,22202,123,,
05/15/2020,22203,194,,
05/15/2020,22204,617,,
05/15/2020,22205,81,,
05/15/2020,22206,109,,
05/15/2020,22207,191,,
05/15/2020,22209,52,,
05/15/2020,22211,Suppressed*,,
05/15/2020,22213,10,,
05/15/2020,22214,0,,
05/15/2020,22301,49,,
