zip,Zipcode name,City,State,County Name
24210,"ABINGDON, VA",ABINGDON,VA,WASHINGTON
24211,"ABINGDON, VA",ABINGDON,VA,WASHINGTON
24212,"ABINGDON, VA",ABINGDON,VA,WASHINGTON
23301,"ACCOMAC, VA",ACCOMAC,VA,ACCOMACK
23001,"ACHILLES, VA",ACHILLES,VA,GLOUCESTER
22920,"AFTON, VA",AFTON,VA,NELSON
23821,"ALBERTA, VA",ALBERTA,VA,BRUNSWICK
20105,"ALDIE, VA",ALDIE,VA,LOUDOUN
22301,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22302,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22304,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22305,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22311,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22313,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22314,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22320,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22331,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22332,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22333,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22350,"ALEXANDRIA, VA",ALEXANDRIA,VA,ALEXANDRIA CITY
22303,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
22306,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
22307,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
22308,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
22309,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
22310,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
22312,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
22315,"ALEXANDRIA, VA",ALEXANDRIA,VA,FAIRFAX
24517,"ALTAVISTA, VA",ALTAVISTA,VA,CAMPBELL
24520,"ALTON, VA",ALTON,VA,HALIFAX
23002,"AMELIA COURT HOUSE, VA",AMELIA COURT HOUSE,VA,AMELIA
24521,"AMHERST, VA",AMHERST,VA,AMHERST
20106,"AMISSVILLE, VA",AMISSVILLE,VA,CULPEPER
24601,"AMONATE, VA",AMONATE,VA,TAZEWELL
22003,"ANNANDALE, VA",ANNANDALE,VA,FAIRFAX
24216,"APPALACHIA, VA",APPALACHIA,VA,WISE
24522,"APPOMATTOX, VA",APPOMATTOX,VA,APPOMATTOX
24053,"ARARAT, VA",ARARAT,VA,PATRICK
23003,"ARK, VA",ARK,VA,GLOUCESTER
22201,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22202,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22203,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22204,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22205,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22206,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22207,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22209,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22210,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22212,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22213,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22214,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22215,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22216,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22217,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22226,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22227,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22230,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22240,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22243,"ARLINGTON, VA",ARLINGTON,VA,ARLINGTON
22709,"ARODA, VA",ARODA,VA,MADISON
22922,"ARRINGTON, VA",ARRINGTON,VA,NELSON
23004,"ARVONIA, VA",ARVONIA,VA,BUCKINGHAM
20146,"ASHBURN, VA",ASHBURN,VA,LOUDOUN
20147,"ASHBURN, VA",ASHBURN,VA,LOUDOUN
20148,"ASHBURN, VA",ASHBURN,VA,LOUDOUN
23005,"ASHLAND, VA",ASHLAND,VA,HANOVER
23302,"ASSAWOMAN, VA",ASSAWOMAN,VA,ACCOMACK
24311,"ATKINS, VA",ATKINS,VA,SMYTH
23303,"ATLANTIC, VA",ATLANTIC,VA,ACCOMACK
24411,"AUGUSTA SPRINGS, VA",AUGUSTA SPRINGS,VA,AUGUSTA
24312,"AUSTINVILLE, VA",AUSTINVILLE,VA,WYTHE
24054,"AXTON, VA",AXTON,VA,HENRY
23009,"AYLETT, VA",AYLETT,VA,KING WILLIAM
24602,"BANDY, VA",BANDY,VA,TAZEWELL
22923,"BARBOURSVILLE, VA",BARBOURSVILLE,VA,ORANGE
23011,"BARHAMSVILLE, VA",BARHAMSVILLE,VA,NEW KENT
24313,"BARREN SPRINGS, VA",BARREN SPRINGS,VA,WYTHE
23915,"BASKERVILLE, VA",BASKERVILLE,VA,MECKLENBURG
24055,"BASSETT, VA",BASSETT,VA,HENRY
24314,"BASTIAN, VA",BASTIAN,VA,BLAND
22810,"BASYE, VA",BASYE,VA,SHENANDOAH
22924,"BATESVILLE, VA",BATESVILLE,VA,ALBEMARLE
23304,"BATTERY PARK, VA",BATTERY PARK,VA,ISLE OF WIGHT
22712,"BEALETON, VA",BEALETON,VA,FAUQUIER
23015,"BEAVERDAM, VA",BEAVERDAM,VA,HANOVER
24523,"BEDFORD, VA",BEDFORD,VA,BEDFORD
24217,"BEE, VA",BEE,VA,DICKENSON
23306,"BELLE HAVEN, VA",BELLE HAVEN,VA,ACCOMACK
24058,"BELSPRING, VA",BELSPRING,VA,PULASKI
24218,"BEN HUR, VA",BEN HUR,VA,LEE
23018,"BENA, VA",BENA,VA,GLOUCESTER
24059,"BENT MOUNTAIN, VA",BENT MOUNTAIN,VA,ROANOKE
22610,"BENTONVILLE, VA",BENTONVILLE,VA,WARREN
22811,"BERGTON, VA",BERGTON,VA,ROCKINGHAM
22611,"BERRYVILLE, VA",BERRYVILLE,VA,CLARKE
24526,"BIG ISLAND, VA",BIG ISLAND,VA,BEDFORD
24603,"BIG ROCK, VA",BIG ROCK,VA,BUCHANAN
24219,"BIG STONE GAP, VA",BIG STONE GAP,VA,WISE
24220,"BIRCHLEAF, VA",BIRCHLEAF,VA,DICKENSON
23307,"BIRDSNEST, VA",BIRDSNEST,VA,NORTHAMPTON
24604,"BISHOP, VA",BISHOP,VA,TAZEWELL
24060,"BLACKSBURG, VA",BLACKSBURG,VA,MONTGOMERY
24061,"BLACKSBURG, VA",BLACKSBURG,VA,MONTGOMERY
24062,"BLACKSBURG, VA",BLACKSBURG,VA,MONTGOMERY
24063,"BLACKSBURG, VA",BLACKSBURG,VA,MONTGOMERY
23824,"BLACKSTONE, VA",BLACKSTONE,VA,NOTTOWAY
24221,"BLACKWATER, VA",BLACKWATER,VA,LEE
24527,"BLAIRS, VA",BLAIRS,VA,PITTSYLVANIA
24315,"BLAND, VA",BLAND,VA,BLAND
23308,"BLOXOM, VA",BLOXOM,VA,ACCOMACK
24413,"BLUE GRASS, VA",BLUE GRASS,VA,HIGHLAND
24064,"BLUE RIDGE, VA",BLUE RIDGE,VA,BOTETOURT
24605,"BLUEFIELD, VA",BLUEFIELD,VA,TAZEWELL
20135,"BLUEMONT, VA",BLUEMONT,VA,CLARKE
23021,"BOHANNON, VA",BOHANNON,VA,MATHEWS
24606,"BOISSEVAIN, VA",BOISSEVAIN,VA,TAZEWELL
24065,"BOONES MILL, VA",BOONES MILL,VA,FRANKLIN
22713,"BOSTON, VA",BOSTON,VA,CULPEPER
22427,"BOWLING GREEN, VA",BOWLING GREEN,VA,CAROLINE
22620,"BOYCE, VA",BOYCE,VA,CLARKE
23917,"BOYDTON, VA",BOYDTON,VA,MECKLENBURG
23827,"BOYKINS, VA",BOYKINS,VA,SOUTHAMPTON
23919,"BRACEY, VA",BRACEY,VA,MECKLENBURG
23828,"BRANCHVILLE, VA",BRANCHVILLE,VA,SOUTHAMPTON
22714,"BRANDY STATION, VA",BRANDY STATION,VA,CULPEPER
24607,"BREAKS, VA",BREAKS,VA,DICKENSON
23022,"BREMO BLUFF, VA",BREMO BLUFF,VA,FLUVANNA
22812,"BRIDGEWATER, VA",BRIDGEWATER,VA,ROCKINGHAM
22715,"BRIGHTWOOD, VA",BRIGHTWOOD,VA,MADISON
24201,"BRISTOL, VA",BRISTOL,VA,BRISTOL CITY
24203,"BRISTOL, VA",BRISTOL,VA,BRISTOL CITY
24209,"BRISTOL, VA",BRISTOL,VA,BRISTOL CITY
24202,"BRISTOL, VA",BRISTOL,VA,WASHINGTON
20136,"BRISTOW, VA",BRISTOW,VA,PRINCE WILLIAM
20137,"BROAD RUN, VA",BROAD RUN,VA,FAUQUIER
22815,"BROADWAY, VA",BROADWAY,VA,ROCKINGHAM
23920,"BRODNAX, VA",BRODNAX,VA,BRUNSWICK
24528,"BROOKNEAL, VA",BROOKNEAL,VA,CAMPBELL
24415,"BROWNSBURG, VA",BROWNSBURG,VA,ROCKBRIDGE
23023,"BRUINGTON, VA",BRUINGTON,VA,KING AND QUEEN
24066,"BUCHANAN, VA",BUCHANAN,VA,BOTETOURT
23921,"BUCKINGHAM, VA",BUCKINGHAM,VA,BUCKINGHAM
24416,"BUENA VISTA, VA",BUENA VISTA,VA,BUENA VISTA CITY
24529,"BUFFALO JUNCTION, VA",BUFFALO JUNCTION,VA,MECKLENBURG
23024,"BUMPASS, VA",BUMPASS,VA,LOUISA
22432,"BURGESS, VA",BURGESS,VA,NORTHUMBERLAND
22009,"BURKE, VA",BURKE,VA,FAIRFAX
